NAME;POP87;BIRTH;MORTALITY;GROWTH;POP00;POP20;INFANT_MORTALITY;FERTILITY;AGE15;AGE65;EXPECTANCY;URBAN;ENERGY;GNP;SURFACE;CULTURE;PASTURAGE;FOREST
MARTINIQUE;0.3;17;7;1.1;0.4;0.4;13;2;28;8;74;71;;;1100.75;17;30;25
MAURITANIA;2;50;20;3;3;5.2;132;6.9;46;3;45;35;5;410;1030700.86;0;38;15
MAURITIUS;1.1;19;7;1.2;1.3;1.6;25.1;2.3;32;5;68;42;8;1070;1859.62;58;4;31
MEXICO;81.9;31;7;2.5;104.5;137.8;50;4;42;4;67;70;50;2080;1972549.18;13;38;23
MONGOLIA;2;37;11;2.6;2.8;4.4;53;5.1;42;3;62;51;47;940;1564999.73;1;79;10
MOROCCO;24.4;36;10;2.5;33.3;48.5;90;4.8;42;4;60;43;9;610;446549.67;19;28;12
MOZAMBIQUE;14.7;45;19;2.6;21.1;35.7;147;6.1;46;3;46;13;3;150;801589.46;4;55;19
NAMIBIA;1.3;44;11;3.3;2;3.7;110;6.4;45;3;49;51;;;824290.81;1;64;22
NEPAL;17.8;42;17;2.5;24.4;37.4;112;6.1;41;3;52;7;;160;140800.17;16;13;16
NETHERLANDS;14.6;12;9;0.4;15;14.6;8;1.5;20;12;76;89;172;9180;37308.95;23;31;8
NETHERLANDS ANTILLES;0.2;19;6;1.4;0.2;0.2;10;2.1;30;7;75;50;;6110;782.18;8;0;0
NEW CALEDONIA;0.2;24;6;1.8;0.2;0.2;36;3.1;36;4;68;60;;5760;19059.81;1;14;37
NEW ZEALAND;3.3;16;8;0.8;3.6;3.8;10.8;1.9;24;11;74;84;113;7310;268678.83;2;52;39
NICARAGUA;3.5;43;9;3.4;5.1;7.7;69;5.7;47;3;61;53;8;850;129999.87;10;39;31
NIGER;7;51;22;2.9;10.6;18.9;141;7.1;47;3;44;16;2;200;1266999.51;3;7;2
NIGERIA;108.6;46;18;2.8;160.9;273.6;124;6.6;45;2;49;28;7;760;923770.12;34;23;16
NORTH KOREA;21.4;30;5;2.5;28.4;38.5;33;4;39;4;65;64;78;1170;120541.19;19;0;74
NORTH YEMEN;6.5;53;19;3.4;10;19.5;137;7.8;49;3;47;15;6;520;195001.1;7;36;8
NORWAY;4.2;12;11;0.2;4.3;4.3;8.3;1.7;20;16;76;70;193;13890;324218.79;3;0;26
OMAN;1.3;47;14;3.3;2;3.2;117;7.1;44;3;52;9;391;7080;212460.29;0;5;0
PAKISTAN;104.6;44;15;2.9;145.3;242.2;125;6.6;45;4;50;28;6;380;803941.18;25;6;4
PANAMA;2.3;27;5;2.2;2.9;3.7;25;3.3;38;4;72;51;22;2020;77080.99;7;15;53
PAPUA-NEW GUINEA;3.6;36;12;2.4;4.8;6.8;100;5.3;42;2;54;13;9;710;461690.81;1;0;83
PARAGUAY;4.3;36;7;2.9;6;8.8;45;4.9;41;4;65;43;7;940;406749.14;5;38;50
PERU;20.7;35;10;2.5;28;38.6;94;4.8;41;4;60;69;19;960;1285220.16;3;21;54
PHILIPPINES;61.5;35;7;2.8;85.5;115.4;50;4.7;41;3;65;40;9;600;299999.7;38;4;40
POLAND;37.8;18;10;0.8;40.8;44.6;18.5;2.3;25;9;71;60;133;2120;312680.34;47;13;28
PORTUGAL;10.3;12;10;0.3;10.9;11.4;16.7;1.9;24;12;73;30;38;1970;92079.68;38;6;40
PUERTO RICO;3.3;19;7;1.3;3.7;4.1;15.7;2.2;30;9;75;67;;4850;8899.24;15;37;20
QATAR;0.3;34;4;3;0.5;0.7;42;5.6;34;2;69;86;637;15980;10999.73;0;5;0
REUNION;0.6;25;6;1.9;0.7;0.8;12;2.7;33;5;70;60;;;2509.71;22;4;35
ROMANIA;22.9;16;11;0.5;24.5;26.6;25.6;2.3;25;9;71;53;134;2540;237500.41;45;19;27
RWANDA;6.8;53;16;3.7;11;21.8;122;8.5;48;2;48;6;1;290;26340.3;38;16;19
